tweet id;name;username;tweet text;reference type;reference id;created at;like;quote;reply;retweet;tweet url;mentions;hashtags;;;;;;;;;;
"#HukumMatiPengkhianatRI https://t.co/Ftro7QbFXQ""";quoted;1,50328E+18;2022-03-14T07:54:21.000Z;0;0,00;0;0;https://twitter.com/Kenshin__KR/status/1503278344963383296;@KejaksaanRI;HukumMatiMunarman,HukumMatiPengkhianatRI;;;;;;;;;;;;;
1503278333294900000,00;POSKOTA BANTEN;PoskotaBanten;Tembak Mati Tersangka Teroris dr Sunardi, Ahli Psikologi Forensik: Harusnya Densus 88 Anti Teror Dilengkapi Body Camera untuk Buktikan Lawful atau Unlwful Killing https://t.co/a5WTJ7cMlQ;original;;2022-03-14T07:54:18.000Z;0;0;0;0;https://twitter.com/PoskotaBanten/status/1503278333294907393;;;;;;;;;;;;
1503278319164280000,00;Johan Christian Bire;ybire;@nuzularham @masceng_ @detikcom Ia guru lu teroris berdaulat ke isis di makassar;replied_to;1503244259792610000,00;2022-03-14T07:54:15.000Z;0;0;0;0;https://twitter.com/ybire/status/1503278319164289027;@nuzularham,@masceng_,@detikcom;;;;;;;;;;;
1503278260553400000,00;Geolanda🇮🇩;geol_anda;@DiantoviaT @detikcom Terdeteksi bangian sel terroris;replied_to;1502534955859010000,00;2022-03-14T07:54:01.000Z;0;0;0;0;https://twitter.com/geol_anda/status/1503278260553400323;@DiantoviaT,@detikcom;;;;;;;;;;;
1503278126595380000,00;Akun Cadangan;AbabilSemprong;@Rizmaya__ Aq dukung pembubaran densus 88..;;;;;;;;;;;;;;;;;;;;
"Percuma mreka kerja klo hasilnya caci n maki bhkan vonis teroris yg ringan..""";replied_to;1,50328E+18;2022-03-14T07:53:29.000Z;0;0,00;0;0;https://twitter.com/AbabilSemprong/status/1503278126595383297;@Rizmaya__;;;;;;;;;;;;;;
1503278038016220000,00;aswin123;diskon123;@Rizmaya__ Padahal kejahatan nya sudah termasuk dalam kategori teroris (menghilangkan nyawa manusia), mungkin tunggu membunuh 200 orang kayak bom bali baru bisa dikasih hukuman mati..🥱😤;replied_to;1503275816444060000,00;2022-03-14T07:53:08.000Z;0;0;0;0;https://twitter.com/diskon123/status/1503278038016225284;@Rizmaya__;;;;;;;;;;;
1503277910253530000,00;Geolanda🇮🇩;geol_anda;@aoeliaRF @tresaple @limkhokpheng @detikcom Terroris siap mati syangid.. Nangkapnya pake kulonuwun kah??? 🤭;replied_to;1502759227387170000,00;2022-03-14T07:52:38.000Z;0;0;1;0;https://twitter.com/geol_anda/status/1503277910253531142;@aoeliaRF,@tresaple,@limkhokpheng,@detikcom;;;;;;;;;;;
1503277883938140000,00;ILAL MAULANA;ILALMAULANA6;@republikaonline Kalau Semua pesantren teroris, tempat ibadah anda hancur ga sempet renov;replied_to;1503269838940110000,00;2022-03-14T07:52:31.000Z;0;0;0;0;https://twitter.com/ILALMAULANA6/status/1503277883938144259;@republikaonline;;;;;;;;;;;
1503277827260510000,00;Pebby Mbot;PebbyMbot;ayoo....yg pada mau protes ama  densus 88 soal dokter teroris,  sekalian deh..densus 88 maah siaaap💪 https://t.co/DoJesW6JrQ;original;;2022-03-14T07:52:18.000Z;0;0;0;0;https://twitter.com/PebbyMbot/status/1503277827260518403;;;;;;;;;;;;
1503277682624450000,00;A N K;AnKwardana;@Speedtrap_ Emang ini yg sok agamais  tapi teroris punya hak apa ngomong ... Sampah2 ginian anggap aja taik;replied_to;1503248744698900000,00;2022-03-14T07:51:43.000Z;0;0;0;0;https://twitter.com/AnKwardana/status/1503277682624458753;@Speedtrap_;;;;;;;;;;;
1503277628869900000,00;Nandan Atmadisastra 🇮🇩🇮🇩;NandanAtmadisa2;@RohmansahRoi @maspiyuaja Saya juga Islam.....dan berdoa mudah mudahan SEMUA TERORRIS DAN PENDUKUNG TERRORIS CEPET MODAR SEMUA.....!!!!!.;;;;;;;;;;;;;;;;;;;;
"Aamiin Ya Allah Ya Rabb.....🤲🤲""";replied_to;1,50249E+18;2022-03-14T07:51:30.000Z;0;0,00;0;0;https://twitter.com/NandanAtmadisa2/status/1503277628869906433;@RohmansahRoi,@maspiyuaja;;;;;;;;;;;;;;
1503277380437440000,00;bisoa.;Lion33432792;MUi Layak di bubarkan.;;;;;;;;;;;;;;;;;;;;
"Sarang teroris.. https://t.co/acvdFNSgR2""";quoted;1,50324E+18;2022-03-14T07:50:31.000Z;1;0,00;0;1;https://twitter.com/Lion33432792/status/1503277380437446656;;;;;;;;;;;;;;;
1503277355233530000,00;FaithHopeLove;toServetoGive;@BungkusTukang Surga bagi teroris sesungguhnya neraka dlm pemahaman org2 baik.;replied_to;1503153508006050000,00;2022-03-14T07:50:25.000Z;0;0;0;0;https://twitter.com/toServetoGive/status/1503277355233538050;@BungkusTukang;;;;;;;;;;;
1503276705363810000,00;Mujito bewing;MBewing;@CNNIndonesia Teroris KKB ga ada rencana kemah di Kalteng nih???;replied_to;1503190983864850000,00;2022-03-14T07:47:50.000Z;0;0;0;0;https://twitter.com/MBewing/status/1503276705363816450;@CNNIndonesia;;;;;;;;;;;
1503276670102690000,00;🇮🇩 MARQUEZ 🇮🇩;RD_4WR1212;@CINTANUSWANTARA @AnakLolina2 Teroris di tuntut 8 Penistaan Agama di tuntut 10 th hadeh @KejaksaanRI jaksanya doyan duwit.;replied_to;1503275986699550000,00;2022-03-14T07:47:42.000Z;1;0;1;0;https://twitter.com/RD_4WR1212/status/1503276670102695938;@CINTANUSWANTARA,@AnakLolina2,@KejaksaanRI;;;;;;;;;;;
1503276654461780000,00;Cak Henry;cak_henry;Dah ganti jubir teroris https://t.co/mcadXxZvZQ;quoted;1502989164891230000,00;2022-03-14T07:47:38.000Z;0;0;0;0;https://twitter.com/cak_henry/status/1503276654461784065;;;;;;;;;;;;
1503276626007630000,00;Lolla Cantika;LollaCantika__;@susukambinggg Semoga keputusannya nnt bebas;;;;;;;;;;;;;;;;;;;;
"Dugaan teroris tdk terbukti""";replied_to;1,50327E+18;2022-03-14T07:47:31.000Z;0;0,00;0;0;https://twitter.com/LollaCantika__/status/1503276626007638019;@susukambinggg;;;;;;;;;;;;;;
1503276335065870000,00;#RezimRadikal;Ombahku;Bagaimana menurut @nahdlatululama?;;;;;;;;;;;;;;;;;;;;
Seperti ini yg kalian inginkan @BNPTRI sesama anak bangsa sudah saling menghina || Gegara narasi dan framing kalian ttg radikal; ekstrimis dan teroris selalu disematkan ke Muslim dan Islam.;;;;;;;;;;;;;;;;;;;;;;
Nanti ada yg bereaksi;" kalian langsung cap Teroris https://t.co/haDdC8CZGW""";quoted;1,50327E+18;2022-03-14T07:46:22.000Z;0,00;0;0;0;https://twitter.com/Ombahku/status/1503276335065870337;@nahdlatululama,@BNPTRI;;;;;;;;;;;;;
1503276327360930000,00;🇮🇩 MARQUEZ 🇮🇩;RD_4WR1212;@doktrinplasu Lha Teroris di tuntut 8 th nanti jatuh nya 2 th Muhammad Kace di tuntut 10 th penistaan agama gimana ya hukum di negeri ini.;replied_to;1503275849998810000,00;2022-03-14T07:46:20.000Z;0;0;0;0;https://twitter.com/RD_4WR1212/status/1503276327360937986;@doktrinplasu;;;;;;;;;;;
1503276303969280000,00;Rusnadi;RUSNADI99202300;@ChaChaQer @NovalAssegaf Yg mana disebut radikal dan yg mana disebut teroris?blm prnh sy lht,sy melht hanya mnglhkan isu atas keggln pmrnth menangani korupsi tmbh subur,semua smbko mahal dan migor langka,bbm mahal.;;;;;;;;;;;;;;;;;;;;
Rakyat skrng menjerit;sdh lpngn kerja sempit;"pengangguran n kemiskinan meroket nmbh bnyk.""";replied_to;1,50325E+18;2022-03-14T07:46:15.000Z;0;0;0;0;https://twitter.com/RUSNADI99202300/status/1503276303969288194;@ChaChaQer,@NovalAssegaf;;;;;;;;;;;;
1503276246696060000,00;erroy;erroyh;@maspiyuaja Sebelum  ditangkap  kirimin surat  dulu... tanyain  anda  teroris  bukan...;;;;;;;;;;;;;;;;;;;;
Kl  teroris  kasih peringatan  1  - 3;   himbau; bujuk;  spy   berhenti  jd  teroris.;;;;;;;;;;;;;;;;;;;;
Kl bukan  teroris  ya  jan ditangkap.. ;;;;;;;;;;;;;;;;;;;;;;;
Ini  contoh  Densus  dlm  film  India  kaleee....;;;;;;;;;;;;;;;;;;;;;;;
"Ha... 72 x""";replied_to;1,50245E+18;2022-03-14T07:46:01.000Z;0;0,00;0;0;https://twitter.com/erroyh/status/1503276246696067082;@maspiyuaja;;;;;;;;;;;;;;
1503276007511710000,00;Lingga Yudhistira;YudhistiraLee;semua pesantren? 🤔 maaf Pdt., bisa dibuktikan klo semua pesantren menghasilkan teroris? smtra ente minta ke Gus Menag yg notabene anak slh1 pengelola Ponpes lho. gak malu klo tanpa data?? plis jgn asal cuap² demi polularitas ya 🙏 https://t.co/oGVX8DpmCF;quoted;1503269838940110000,00;2022-03-14T07:45:04.000Z;0;0;0;0;https://twitter.com/YudhistiraLee/status/1503276007511719937;;;;;;;;;;;;
1503275886438600000,00;Komandan Bajer 🤪;Bonds_18;@republikaonline Proyek islamophobia masih berlanjut? ;;;;;;;;;;;;;;;;;;;;
Radikal radikul; teroris. ;;;;;;;;;;;;;;;;;;;;;;
Energi bangsa ini habis buat komoditas politik; pengalihan isu;" dan ego dengki kelompok tertentu.""";replied_to;1,50327E+18;2022-03-14T07:44:35.000Z;0;0;0;0;https://twitter.com/Bonds_18/status/1503275886438600704;@republikaonline;;;;;;;;;;;;
1503275816444060000,00;Rizmaya;Rizmaya__;Mau heran, tapi ini Hukum di INDONESIA. Dan akhirnya TERSANGKA Teroris pun tersenyum lega.;;;;;;;;;;;;;;;;;;;;
Miris.! HukumDiNegeriDagelan;;;;;;;;;;;;;;;;;;;;;;;
"https://t.co/vP6QIdcL61 https://t.co/GYTciw5wlE""";original;;2022-03-14T07:44:18.000Z;25;1,00;8;9;https://twitter.com/Rizmaya__/status/1503275816444063745;;;;;;;;;;;;;;;
1503275750883220000,00;Blackco Tanya;BlackcoTanya;Hukum mati teroris bangsat di bumi indonesia https://t.co/6hWnfZPFlK;quoted;1503274599970410000,00;2022-03-14T07:44:03.000Z;9;0;1;2;https://twitter.com/BlackcoTanya/status/1503275750883229696;;;;;;;;;;;;
1503275735683050000,00;IG: WarungSejarahRI;WarungSejarahRI;Inside The Jihad;;;;;;;;;;;;;;;;;;;;
Oleh;;;;;;;;;;;;;;;;;;;;;;;
Tahun 2007;;;;;;;;;;;;;;;;;;;;;;;
568 Halaman.;;;;;;;;;;;;;;;;;;;;;;;
Hardcover;;;;;;;;;;;;;;;;;;;;;;;
Harga 125.000. ;;;;;;;;;;;;;;;;;;;;;;;
Minat? ;;;;;;;;;;;;;;;;;;;;;;;
Cara Order silakan ;;;;;;;;;;;;;;;;;;;;;;;
"‌DM atau klik link WA https://t.co/bSBuqUJdLQ https://t.co/8kxTwvVy8R""";original;;2022-03-14T07:43:59.000Z;0;0,00;0;0;https://twitter.com/WarungSejarahRI/status/1503275735683059715;;;;;;;;;;;;;;;
1503275565490800000,00;Misaki;muhammad_misaki;@democrazymedia Memangnya bisa direvisi? Dasar manusia.   Pesantren tempat cari ilmu . Bukan yg dituduhkan teroris.. biadab gak;replied_to;1502941284780030000,00;2022-03-14T07:43:18.000Z;0;0;0;0;https://twitter.com/muhammad_misaki/status/1503275565490802692;@democrazymedia;;;;;;;;;;;
1503275541163810000,00;IG: WarungSejarahRI;WarungSejarahRI;Inside The Jihad;;;;;;;;;;;;;;;;;;;;
"‌DM atau klik link WA https://t.co/bSBuqUJdLQ https://t.co/6cSg1QZRBW""";original;;2022-03-14T07:43:13.000Z;0;0,00;0;0;https://twitter.com/WarungSejarahRI/status/1503275541163810819;;;;;;;;;;;;;;;
1503275481885380000,00;✩Bebeb Bubu🍭;NyaiiBubu;Munarman malah ketawa saat dituntut 8 tahun penjara. Sumpelin sendal lambemu !! ;;;;;;;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;;;;;;;;;;
"Bangga jadi teroris yg gak dituntut hukuman mati ya? https://t.co/tnWp1ObCwG""";original;;2022-03-14T07:42:59.000Z;18;1,00;7;4;https://twitter.com/NyaiiBubu/status/1503275481885380613;;;;;;;;;;;;;;;
1503275164414640000,00;drien;drien0809;@masdeni73 @RudyFarthuack @DivHumas_Polri Berarti hak imunitas berlaku utk kejahatan apapun yah? Termasuk kejahatan teroris?;replied_to;1502528930255080000,00;2022-03-14T07:41:43.000Z;0;0;0;0;https://twitter.com/drien0809/status/1503275164414640137;@masdeni73,@RudyFarthuack,@DivHumas_Polri;;;;;;;;;;;
1503274895404250000,00;komentator;krtmlm;@republikaonline wah, semua pesantren menghasilkan teroris. menarique. pdhl byk lulusan pesantren di negeri ini. bahkan ada yg pernah jadi presiden.;replied_to;1503269838940110000,00;2022-03-14T07:40:39.000Z;0;0;0;0;https://twitter.com/krtmlm/status/1503274895404257286;@republikaonline;;;;;;;;;;;
1503274476246470000,00;Harlan;Harlan34792342;@RD_4WR1212 Hakim bangsat ,  itu gembong teroris SETAN.....;;;;;;;;;;;;;;;;;;;;
LOE SEMUA HAKIM PEKOK BELOM PERNAH NGALAMIN KELUARGA MU KENA BOM TERORIS YAH....;;;;;;;;;;;;;;;;;;;;;;;
"MANUSIA BIADAB ......""";replied_to;1,50324E+18;2022-03-14T07:38:59.000Z;0;0,00;0;0;https://twitter.com/Harlan34792342/status/1503274476246474760;@RD_4WR1212;;;;;;;;;;;;;;
1503274459121460000,00;sri wulandari🇮🇩☘️;sriwula62788077;@NKRI_jokowisyoo Ngeleki2 agama Islam kalau kita diluar negeri pakai kerudung kita dikira teroris 😁😁😁;replied_to;1503273982916660000,00;2022-03-14T07:38:55.000Z;0;0;1;0;https://twitter.com/sriwula62788077/status/1503274459121467395;@NKRI_jokowisyoo;;;;;;;;;;;
1503274435045850000,00;Memorysongs1 😘;memorysongs2022;@MrsRachelIn @KomnasHAM  jangan belain segelintir teroris tapi mengabaikan korban2 tak berdosa ;;;;;;;;;;;;;;;;;;;;
"Payahhh ah 👎""";replied_to;1,50326E+18;2022-03-14T07:38:49.000Z;0;0,00;0;0;https://twitter.com/memorysongs2022/status/1503274435045851137;@MrsRachelIn,@KomnasHAM;;;;;;;;;;;;;;
1503274342683370000,00;𝓙𝓪𝔀𝓪𝓻𝓪 𝓑𝓸𝓻𝓷𝓮𝓸 🇲🇨;TChelsky99;@RyaWiedy Lah bukannya teroris ini dihukum mati 🙄;replied_to;1503251358480150000,00;2022-03-14T07:38:27.000Z;1;0;0;1;https://twitter.com/TChelsky99/status/1503274342683377665;@RyaWiedy;;;;;;;;;;;
